% This file contains dummy values for a thirtheenth row/column of chips. These
% are included as a bodge to make pgfplots produce actual heatmaps...
chip_x	chip_y	injected	extracted	dumped	routed	inj_rate	inj_period	pattern
0	0	15038	3953	16844	54414	0.200000	80	complement
1	0	15021	3605	16076	49859	0.200000	80	complement
2	0	15035	3639	23	24138	0.200000	80	complement
3	0	15035	1193	2094	16228	0.200000	80	complement
4	0	12852	991	19394	42755	0.200000	80	complement
5	0	13287	2841	17852	53179	0.200000	80	complement
6	0	13379	2491	17839	53571	0.200000	80	complement
7	0	13362	4524	16886	52873	0.200000	80	complement
8	0	15035	1973	1822	20675	0.200000	80	complement
9	0	15035	2264	1436	17299	0.200000	80	complement
10	0	13527	2216	18271	46593	0.200000	80	complement
11	0	13549	3647	19555	54224	0.200000	80	complement
12	0	0	0	0	0	0	0	0

0	1	11429	2533	19197	45799	0.200000	80	complement
1	1	15037	1112	18208	48060	0.200000	80	complement
2	1	15035	4604	15683	34675	0.200000	80	complement
3	1	15035	4498	0	19533	0.200000	80	complement
4	1	15035	2347	3961	17382	0.200000	80	complement
5	1	15030	586	19474	38318	0.200000	80	complement
6	1	13613	1361	19144	54448	0.200000	80	complement
7	1	15037	2955	19083	50211	0.200000	80	complement
8	1	15037	2064	17090	44170	0.200000	80	complement
9	1	15035	2592	3674	17626	0.200000	80	complement
10	1	15035	3057	4073	18092	0.200000	80	complement
11	1	14369	1349	19599	38400	0.200000	80	complement
12	1	0	0	0	0	0	0	0

0	2	15035	1330	9323	25674	0.200000	80	complement
1	2	11902	3200	19669	30081	0.200000	80	complement
2	2	15035	669	7831	15704	0.200000	80	complement
3	2	15035	15037	0	30073	0.200000	80	complement
4	2	15035	15039	0	30074	0.200000	80	complement
5	2	15035	575	3957	15610	0.200000	80	complement
6	2	15037	696	19485	31661	0.200000	80	complement
7	2	13764	2352	19146	38793	0.200000	80	complement
8	2	15035	1255	13921	46364	0.200000	80	complement
9	2	15035	4327	0	19362	0.200000	80	complement
10	2	15035	15030	0	30066	0.200000	80	complement
11	2	15035	1080	9301	16115	0.200000	80	complement
12	2	0	0	0	0	0	0	0

0	3	15035	15035	4984	30070	0.200000	80	complement
1	3	15035	3575	60	18610	0.200000	80	complement
2	3	15035	9470	0	24506	0.200000	80	complement
3	3	15035	15035	0	60140	0.200000	80	complement
4	3	15035	15035	0	75176	0.200000	80	complement
5	3	15035	15035	0	60143	0.200000	80	complement
6	3	15035	15037	0	30072	0.200000	80	complement
7	3	15035	4849	8404	19884	0.200000	80	complement
8	3	15035	3268	0	18302	0.200000	80	complement
9	3	15035	15030	0	30065	0.200000	80	complement
10	3	15035	15030	0	45100	0.200000	80	complement
11	3	15035	15030	0	55147	0.200000	80	complement
12	3	0	0	0	0	0	0	0

0	4	15035	15035	0	105235	0.200000	80	complement
1	4	15035	15035	0	30070	0.200000	80	complement
2	4	15035	15035	0	30071	0.200000	80	complement
3	4	15035	15035	0	69610	0.200000	80	complement
4	4	15035	15035	0	135315	0.200000	80	complement
5	4	15035	15035	0	165386	0.200000	80	complement
6	4	15035	15035	0	105249	0.200000	80	complement
7	4	15035	15035	0	30070	0.200000	80	complement
8	4	15035	15035	0	30070	0.200000	80	complement
9	4	15035	15035	0	45105	0.200000	80	complement
10	4	15035	15035	0	135305	0.200000	80	complement
11	4	15035	15035	0	130321	0.200000	80	complement
12	4	0	0	0	0	0	0	0

0	5	15035	15035	0	180410	0.200000	80	complement
1	5	15035	15035	0	105235	0.200000	80	complement
2	5	15035	15035	0	30070	0.200000	80	complement
3	5	15035	15035	0	60140	0.200000	80	complement
4	5	15035	15035	0	159821	0.200000	80	complement
5	5	15035	15035	0	225525	0.200000	80	complement
6	5	15035	15035	0	210491	0.200000	80	complement
7	5	15035	15035	0	105246	0.200000	80	complement
8	5	15035	15026	0	30062	0.200000	80	complement
9	5	15035	15035	0	60130	0.200000	80	complement
10	5	15035	15035	0	135295	0.200000	80	complement
11	5	15035	15035	0	220531	0.200000	80	complement
12	5	0	0	0	0	0	0	0

0	6	15035	15035	0	225525	0.200000	80	complement
1	6	15035	15035	0	135315	0.200000	80	complement
2	6	15035	15035	0	60140	0.200000	80	complement
3	6	15035	15035	0	30070	0.200000	80	complement
4	6	15035	15035	0	105245	0.200000	80	complement
5	6	15035	15035	0	204926	0.200000	80	complement
6	6	15035	15035	0	225526	0.200000	80	complement
7	6	15035	15035	0	165385	0.200000	80	complement
8	6	15035	15026	0	60116	0.200000	80	complement
9	6	15035	15025	0	30060	0.200000	80	complement
10	6	15035	15035	0	105237	0.200000	80	complement
11	6	15035	15035	0	175436	0.200000	80	complement
12	6	0	0	0	0	0	0	0

0	7	15035	15035	0	135315	0.200000	80	complement
1	7	15035	15035	0	135315	0.200000	80	complement
2	7	15035	15035	0	45105	0.200000	80	complement
3	7	15035	15035	0	30070	0.200000	80	complement
4	7	15035	15035	0	30070	0.200000	80	complement
5	7	15035	15035	0	105245	0.200000	80	complement
6	7	15035	15035	0	159821	0.200000	80	complement
7	7	15035	15035	0	135315	0.200000	80	complement
8	7	15035	15027	0	75158	0.200000	80	complement
9	7	15035	15028	0	30064	0.200000	80	complement
10	7	15035	15025	0	30060	0.200000	80	complement
11	7	15035	15035	0	100264	0.200000	80	complement
12	7	0	0	0	0	0	0	0

0	8	15035	15035	0	60146	0.200000	80	complement
1	8	15035	15035	0	45105	0.200000	80	complement
2	8	15035	15035	0	30070	0.200000	80	complement
3	8	15035	4765	0	19800	0.200000	80	complement
4	8	15035	1442	0	16478	0.200000	80	complement
5	8	15035	15020	0	30056	0.200000	80	complement
6	8	15035	15020	0	60111	0.200000	80	complement
7	8	15035	15020	0	69582	0.200000	80	complement
8	8	15035	15020	0	54563	0.200000	80	complement
9	8	15035	15026	5566	30061	0.200000	80	complement
10	8	15035	3994	2915	19028	0.200000	80	complement
11	8	15035	10052	0	25087	0.200000	80	complement
12	8	0	0	0	0	0	0	0

0	9	15035	911	2673	15946	0.200000	80	complement
1	9	15035	15038	0	30075	0.200000	80	complement
2	9	15035	4957	2061	19992	0.200000	80	complement
3	9	12957	1630	18783	42597	0.200000	80	complement
4	9	15037	1820	15314	42537	0.200000	80	complement
5	9	14789	443	20016	29591	0.200000	80	complement
6	9	15035	379	2119	15414	0.200000	80	complement
7	9	15035	15020	0	30055	0.200000	80	complement
8	9	15035	15020	0	30055	0.200000	80	complement
9	9	15035	1044	5943	16079	0.200000	80	complement
10	9	15036	3214	17689	30373	0.200000	80	complement
11	9	15036	1899	18880	33293	0.200000	80	complement
12	9	0	0	0	0	0	0	0

0	10	14985	844	18697	39367	0.200000	80	complement
1	10	15035	2434	2800	17469	0.200000	80	complement
2	10	15035	5362	4614	20398	0.200000	80	complement
3	10	10433	5471	19556	41727	0.200000	80	complement
4	10	11687	3132	17984	46876	0.200000	80	complement
5	10	12092	1829	19242	47514	0.200000	80	complement
6	10	13836	436	19937	32916	0.200000	80	complement
7	10	15035	1514	1251	16548	0.200000	80	complement
8	10	15035	5730	865	20765	0.200000	80	complement
9	10	14162	5724	19229	34059	0.200000	80	complement
10	10	15038	1919	18910	49559	0.200000	80	complement
11	10	13837	2742	17526	45940	0.200000	80	complement
12	10	0	0	0	0	0	0	0

0	11	14030	3339	17512	51784	0.200000	80	complement
1	11	14545	1006	16374	44902	0.200000	80	complement
2	11	15035	966	263	16001	0.200000	80	complement
3	11	15035	3183	9165	24770	0.200000	80	complement
4	11	14833	2204	18421	53921	0.200000	80	complement
5	11	13622	8880	18770	54537	0.200000	80	complement
6	11	13165	3507	19803	52690	0.200000	80	complement
7	11	15038	1065	16916	38660	0.200000	80	complement
8	11	15035	1077	0	16111	0.200000	80	complement
9	11	15035	4889	1669	27917	0.200000	80	complement
10	11	13262	5176	19385	53340	0.200000	80	complement
11	11	14497	7102	19139	58003	0.200000	80	complement
12	11	0	0	0	0	0	0	0

0	12	0	0	0	0	0	0	0
1	12	0	0	0	0	0	0	0
2	12	0	0	0	0	0	0	0
3	12	0	0	0	0	0	0	0
4	12	0	0	0	0	0	0	0
5	12	0	0	0	0	0	0	0
6	12	0	0	0	0	0	0	0
7	12	0	0	0	0	0	0	0
8	12	0	0	0	0	0	0	0
9	12	0	0	0	0	0	0	0
10	12	0	0	0	0	0	0	0
11	12	0	0	0	0	0	0	0
12	12	0	0	0	0	0	0	0
