% This file contains dummy values for a thirtheenth row/column of chips. These
% are included as a bodge to make pgfplots produce actual heatmaps...
chip_x	chip_y	injected	extracted	dumped	routed	inj_rate	inj_period	pattern
0	0	16328	3923	16732	55585	0.400000	40	complement
1	0	14415	3662	16448	48458	0.400000	40	complement
2	0	30153	3686	14226	39042	0.400000	40	complement
3	0	30151	1766	17156	31917	0.400000	40	complement
4	0	12988	1921	19517	41223	0.400000	40	complement
5	0	12999	1848	17789	51998	0.400000	40	complement
6	0	13639	4796	17917	54554	0.400000	40	complement
7	0	13273	4300	16497	52970	0.400000	40	complement
8	0	30149	1496	16908	34834	0.400000	40	complement
9	0	30151	2380	16702	32530	0.400000	40	complement
10	0	13441	2084	18241	48506	0.400000	40	complement
11	0	13471	3792	19581	53882	0.400000	40	complement
12	0	0	0	0	0	0	0	0

0	1	11461	2544	19291	45854	0.400000	40	complement
1	1	19308	1212	18544	47068	0.400000	40	complement
2	1	13173	4218	18798	34782	0.400000	40	complement
3	1	30149	4225	12759	34374	0.400000	40	complement
4	1	28914	1671	17749	30585	0.400000	40	complement
5	1	14827	710	19519	36226	0.400000	40	complement
6	1	13122	1695	18794	52487	0.400000	40	complement
7	1	18393	1414	19483	46598	0.400000	40	complement
8	1	14958	2262	17617	41859	0.400000	40	complement
9	1	30007	1734	19543	31741	0.400000	40	complement
10	1	28809	3415	18108	32224	0.400000	40	complement
11	1	14600	1300	19641	39659	0.400000	40	complement
12	1	0	0	0	0	0	0	0

0	2	24865	1491	19135	36005	0.400000	40	complement
1	2	11312	3190	19931	29006	0.400000	40	complement
2	2	25810	598	19926	26408	0.400000	40	complement
3	2	30149	5089	8220	35238	0.400000	40	complement
4	2	30149	2474	14185	32623	0.400000	40	complement
5	2	27863	686	17101	28548	0.400000	40	complement
6	2	15247	771	19533	30501	0.400000	40	complement
7	2	15073	2053	19450	38346	0.400000	40	complement
8	2	23085	611	18642	47391	0.400000	40	complement
9	2	30154	3710	18306	33864	0.400000	40	complement
10	2	28205	3543	15910	31748	0.400000	40	complement
11	2	25421	953	19689	26374	0.400000	40	complement
12	2	0	0	0	0	0	0	0

0	3	28257	1221	17832	29478	0.400000	40	complement
1	3	27949	3916	13444	31865	0.400000	40	complement
2	3	30148	5976	18907	36124	0.400000	40	complement
3	3	11234	554	17081	44958	0.400000	40	complement
4	3	11405	1601	15507	45293	0.400000	40	complement
5	3	15358	1082	20012	30722	0.400000	40	complement
6	3	28647	649	16840	29296	0.400000	40	complement
7	3	26007	3725	19533	29732	0.400000	40	complement
8	3	30150	2900	18303	33052	0.400000	40	complement
9	3	27325	668	18777	27994	0.400000	40	complement
10	3	14999	2708	18746	30001	0.400000	40	complement
11	3	16834	1629	18710	32429	0.400000	40	complement
12	3	0	0	0	0	0	0	0

0	4	15240	830	18526	40490	0.400000	40	complement
1	4	30153	2564	17128	32718	0.400000	40	complement
2	4	30020	3145	19422	33162	0.400000	40	complement
3	4	10591	4522	19333	42379	0.400000	40	complement
4	4	10783	1524	17845	43159	0.400000	40	complement
